"buy","hold","period","sell","strongBuy","strongSell","symbol"
10,6,"2025-03-01",2,5,0,"MMM"
10,6,"2025-02-01",2,5,0,"MMM"
9,7,"2025-01-01",2,5,0,"MMM"
10,7,"2024-12-01",2,4,0,"MMM"
4,10,"2025-03-01",1,4,0,"AOS"
4,10,"2025-02-01",1,4,0,"AOS"
4,11,"2025-01-01",1,3,0,"AOS"
4,11,"2024-12-01",1,3,0,"AOS"
14,9,"2025-03-01",0,9,0,"ABT"
15,8,"2025-02-01",0,9,0,"ABT"
15,8,"2025-01-01",0,9,0,"ABT"
15,8,"2024-12-01",0,9,0,"ABT"
15,9,"2025-03-01",0,9,0,"ABBV"
16,10,"2025-02-01",0,9,0,"ABBV"
17,10,"2025-01-01",0,9,0,"ABBV"
18,9,"2024-12-01",0,9,0,"ABBV"
13,9,"2025-03-01",0,8,0,"ACN"
13,9,"2025-02-01",0,8,0,"ACN"
13,10,"2025-01-01",0,8,0,"ACN"
13,10,"2024-12-01",0,9,0,"ACN"
19,12,"2025-03-01",1,14,0,"ADBE"
19,11,"2025-02-01",1,14,0,"ADBE"
21,9,"2025-01-01",2,14,0,"ADBE"
22,8,"2024-12-01",2,14,0,"ADBE"
27,16,"2025-03-01",1,9,0,"AMD"
26,15,"2025-02-01",1,13,0,"AMD"
30,12,"2025-01-01",0,16,0,"AMD"
29,11,"2024-12-01",0,17,0,"AMD"
9,5,"2025-03-01",1,4,0,"AES"
10,4,"2025-02-01",1,4,0,"AES"
11,4,"2025-01-01",1,4,0,"AES"
11,3,"2024-12-01",1,4,0,"AES"
4,12,"2025-03-01",2,2,0,"AFL"
4,12,"2025-02-01",2,2,0,"AFL"
4,11,"2025-01-01",2,2,0,"AFL"
4,11,"2024-12-01",2,2,0,"AFL"
7,13,"2025-03-01",0,6,0,"A"
8,11,"2025-02-01",1,6,0,"A"
7,13,"2025-01-01",1,6,0,"A"
7,13,"2024-12-01",1,6,0,"A"
13,11,"2025-03-01",0,5,0,"APD"
14,10,"2025-02-01",0,5,0,"APD"
13,10,"2025-01-01",0,6,0,"APD"
13,10,"2024-12-01",0,6,0,"APD"
10,28,"2025-03-01",5,8,0,"ABNB"
8,29,"2025-02-01",6,6,1,"ABNB"
9,30,"2025-01-01",6,6,1,"ABNB"
10,29,"2024-12-01",6,6,1,"ABNB"
12,11,"2025-03-01",1,7,0,"AKAM"
16,6,"2025-02-01",1,8,0,"AKAM"
16,6,"2025-01-01",1,8,0,"AKAM"
15,7,"2024-12-01",1,7,0,"AKAM"
6,18,"2025-03-01",3,5,0,"ALB"
7,17,"2025-02-01",3,5,0,"ALB"
7,16,"2025-01-01",3,5,0,"ALB"
7,16,"2024-12-01",3,5,0,"ALB"
5,9,"2025-03-01",0,3,0,"ARE"
5,9,"2025-02-01",0,3,0,"ARE"
4,10,"2025-01-01",0,4,0,"ARE"
4,10,"2024-12-01",0,4,0,"ARE"
9,6,"2025-03-01",1,7,1,"ALGN"
8,6,"2025-02-01",1,7,1,"ALGN"
8,7,"2025-01-01",1,6,1,"ALGN"
7,7,"2024-12-01",1,6,1,"ALGN"
7,7,"2025-03-01",2,2,0,"ALLE"
7,7,"2025-02-01",2,2,0,"ALLE"
8,5,"2025-01-01",2,2,0,"ALLE"
7,6,"2024-12-01",2,2,0,"ALLE"
3,11,"2025-03-01",0,4,0,"LNT"
3,11,"2025-02-01",0,4,0,"LNT"
