"c","d","dp","h","l","o","pc","t","Symbol","change","Security","GICS Sector","GICS Sub-Industry","Headquarters Location","Date added","CIK","Founded","country","currency","estimateCurrency","exchange","finnhubIndustry","ipo","logo","marketCapitalization","name","phone","shareOutstanding","weburl"
130.21,-0.25,-0.1916,132.95,130.08,130.34,130.46,2025-04-18,"MMM",-0.0997391437778084,"3M","Industrials","Industrial Conglomerates","Saint Paul, Minnesota","1957-03-04","66740","1902","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","1946-01-14","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/MMM.png",70224.639248,"3M Co","16517331474",539.32,"https://www.3m.com/"
63.14,0.28,0.4454,63.69,62.93,62.97,62.86,2025-04-18,"AOS",0.269969826901702,"A. O. Smith","Industrials","Building Products","Milwaukee, Wisconsin","2017-07-26","91142","1916","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Building","1983-09-30","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AOS.png",9062.424632,"A O Smith Corp","14143594000",117.66,"https://www.aosmith.com/"
130.98,1.28,0.9869,132.71,129.66,130.375,129.7,2025-04-18,"ABT",0.464046021092993,"Abbott Laboratories","Health Care","Health Care Equipment","North Chicago, Illinois","1957-03-04","1800","1888","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Health Care","1937-03-01","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ABT.png",227161.666841,"Abbott Laboratories","12246676100",1734.32,"https://www.abbott.com"
172.99,1.31,0.763,175.2,171.9078,172.57,171.68,2025-04-18,"ABBV",0.243379498174663,"AbbVie","Health Care","Biotechnology","North Chicago, Illinois","2012-12-31","1551152","2013 (1888)","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Biotechnology","2013-01-02","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ABBV.png",306033.250684277,"AbbVie Inc","18479327900",1768.98,"https://www.abbvie.com/"
282.35,-2.89,-1.0132,286.67,281.765,285.52,285.24,2025-04-18,"ACN",-1.11025497338189,"Accenture","Information Technology","IT Consulting & Other Services","Dublin, Ireland","2011-07-06","1467373","1989","IE","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Technology","2001-07-19","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ACN.png",176758.393497,"Accenture PLC","35316462000",626.03,"https://www.accenture.com/ie-en/"
348.8,4.61,1.3394,351.875,345.09,349.75,344.19,2025-04-18,"ADBE",-0.271622587562541,"Adobe Inc.","Information Technology","Application Software","San Jose, California","1997-05-05","796343","1982","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Technology","1986-08-20","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ADBE.png",148658.559055,"Adobe Inc","14085366000",426.2,"https://www.adobe.com/"
87.5,-0.79,-0.8948,89.03,86.515,88.84,88.29,2025-04-18,"AMD",-1.5083295812697,"Advanced Micro Devices","Information Technology","Semiconductors","Santa Clara, California","2017-03-20","2488","1969","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Semiconductors","1979-10-15","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMD.png",142155.4245,"Advanced Micro Devices Inc","14087494000",1616.3,"https://www.amd.com/"
10.18,0.22,2.2088,10.26,9.95,10.02,9.96,2025-04-18,"AES",1.59680638722555,"AES Corporation","Utilities","Independent Power Producers & Energy Traders","Arlington, Virginia","1998-10-02","874761","1981","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Utilities","1991-06-26","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AES.png",7247.224482,"AES Corp","17035221315",711.91,"https://www.aes.com/"
107.44,0.1,0.0932,109.23,107.01,107.83,107.34,2025-04-18,"AFL",-0.36168042288788,"Aflac","Financials","Life & Health Insurance","Columbus, Georgia","1999-05-28","4977","1955","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Insurance","1974-06-15","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AFL.png",58642.325849,"Aflac Inc","17063233431",545.81,"https://www.aflac.com/"
102.48,-0.22,-0.2142,103.5,101.355,102.63,102.7,2025-04-18,"A",-0.146156094709141,"Agilent Technologies","Health Care","Life Sciences Tools & Services","Santa Clara, California","2000-06-05","1090872","1999","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Life Sciences Tools & Services","1999-11-18","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/A.png",29217.327925,"Agilent Technologies Inc","14083458886",285.1,"https://www.agilent.com/"
262.9,1.58,0.6046,265.7437,262.36,263.42,261.32,2025-04-18,"APD",-0.197403386227332,"Air Products","Materials","Industrial Gases","Upper Macungie Township, Pennsylvania","1985-04-30","2969","1940","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Chemicals","1961-11-13","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/APD.png",58488.854254,"Air Products and Chemicals Inc","16104814911",222.48,"https://www.airproducts.com/"
112.7,0.06,0.0533,114,111.86,113.75,112.64,2025-04-18,"ABNB",-0.923076923076921,"Airbnb","Consumer Discretionary","Hotels, Resorts & Cruise Lines","San Francisco, California","2023-09-18","1559720","2008","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Hotels, Restaurants & Leisure","2020-12-10","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ABNB.png",71061.809863,"Airbnb Inc","14158005959",630.54,"https://www.airbnb.com"
73.46,-0.35,-0.4742,74.3,73.2,74,73.81,2025-04-18,"AKAM",-0.729729729729738,"Akamai Technologies","Information Technology","Internet Services & Infrastructure","Cambridge, Massachusetts","2007-07-12","1086222","1998","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Technology","1999-10-29","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AKAM.png",10733.590235,"Akamai Technologies Inc","16174443000",146.11,"https://www.akamai.com/"
52.91,0.34,0.6468,53.87,51.92,53.29,52.57,2025-04-18,"ALB",-0.713079376993812,"Albemarle Corporation","Materials","Specialty Chemicals","Charlotte, North Carolina","2016-07-01","915913","1994","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Chemicals","1994-02-22","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ALB.png",6224.891838,"Albemarle Corp","19802995700",117.65,"https://www.albemarle.com/"
77.84,0.72,0.9336,78.8071,77.29,77.62,77.12,2025-04-18,"ARE",0.283432105127543,"Alexandria Real Estate Equities","Real Estate","Office REITs","Pasadena, California","2017-03-20","1035443","1994","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Real Estate","1997-05-28","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959033376.png",13473.462459,"Alexandria Real Estate Equities Inc","16265780777",172.99,"https://www.are.com/"
171.41,4.23,2.5302,171.76,165.99,167.36,167.18,2025-04-18,"ALGN",2.41993307839387,"Align Technology","Health Care","Health Care Supplies","Tempe, Arizona","2017-06-19","1097149","1997","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Health Care","2001-01-26","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ALGN.png",12548.982445,"Align Technology Inc","14084701000",73.21,"https://www.aligntech.com/"
